cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
",04,Chiriquí,0413,Tolé,LEY N° 1 del 22 de agosto de 1916,""LEY N° 1 del 27 de octubre de 1982, LEY N°69  del 28 de octubre de 1998"",GA 02404,""GA 20047, GA 23664"",Tierra,362111.234288917970844,484892875.836879253387451"
,04,Chiriquí,0414,Tierras Altas,LEY N° 55 del 13 de septiembre de 2013,N/A,GA 27374,N/A,Tierra,119488.959293372012326,359784342.997557640075684
",05,Darién,0501,Chepigana,LEY N° 1 del 22 de agosto de 1916,""LEY N° 22 del 27 de diciembre de 1922, LEY N° 1 del 27 de octubre de 1982, LEY N° 58 del 29 de julio de 1998"",GA 02404,""GA 04079, GA 23602, GA 19965"",Masa de Agua - Río,224357.356775740714511,64097496.349153511226177"
",05,Darién,0501,Chepigana,LEY N° 1 del 22 de agosto de 1916,""LEY N° 22 del 27 de diciembre de 1922, LEY N° 1 del 27 de octubre de 1982, LEY N° 58 del 29 de julio de 1998"",GA 02404,""GA 04079, GA 23602, GA 19965"",Tierra,1021836.889914598548785,4690442964.658731460571289"
",05,Darién,0502,Pinogana,LEY N° 1 del 22 de agosto de 1916,""LEY N° 22 del 27 de diciembre de 1922, LEY N° 1 del 27 de octubre de 1982, LEY N° 58 del 29 de julio de 1998"",GA 02404,""GA 04079, GA 23602, GA 19965"",Masa de Agua - Río,19716.812671523388417,4111212.734980023931712"
",05,Darién,0502,Pinogana,LEY N° 1 del 22 de agosto de 1916,""LEY N° 22 del 27 de diciembre de 1922, LEY N° 1 del 27 de octubre de 1982, LEY N° 58 del 29 de julio de 1998"",GA 02404,""GA 04079, GA 23602, GA 19965"",Tierra,799823.749907378223725,4899736020.677813529968262"
,05,Darién,0503,Santa Fe,LEY N° 57 del 14 de julio de 2017,N/A,28322-A,N/A,Masa de Agua - Río,335502.818035618867725,83886563.839353710412979
,05,Darién,0503,Santa Fe,LEY N° 57 del 14 de julio de 2017,N/A,28322-A,N/A,Tierra,678599.307596023776568,2434625010.045742511749268
,06,Herrera,0601,Chitré,LEY N° 1 del 22 de agosto de 1916,LEY N° 58  del 29 de julio de 1998,GA 02404,GA 23602,Tierra,66124.532695210538805,88394608.295558303594589
,06,Herrera,0602,Las Minas,LEY N° 1 del 22 de agosto de 1916,LEY N° 58  del 29 de julio de 1998,GA 02404,GA 23602,Tierra,122302.103808694417239,468739522.133545994758606
,06,Herrera,0603,Los Pozos,LEY N° 1 del 22 de agosto de 1916,LEY N° 58  del 29 de julio de 1998,GA 02404,GA 23602,Tierra,110760.939948785191518,384821737.589748978614807
,06,Herrera,0604,Ocú,LEY N° 1 del 22 de agosto de 1916,LEY N° 58  del 29 de julio de 1998,GA 02404,GA 23602,Tierra,166327.724358562671114,618558075.501050710678101
,06,Herrera,0605,Parita,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,126100.180284239380853,353952363.772255599498749
,06,Herrera,0606,Pesé,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,97149.745380059350282,289015867.504861891269684
,06,Herrera,0607,Santa María,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,115528.770076745931874,159431508.977046400308609
,07,Los Santos,0701,Guararé,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,101686.189637275223504,212796183.778885245323181
,07,Los Santos,0702,Las Tablas,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,168602.201389622729039,717068004.424685716629028
",07,Los Santos,0703,Los Santos,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 97 del 12 de Noviembre de 2013"",GA 02404,""GA 23602, GA 27415"",Tierra,126222.782155669381609,432116827.270490407943726"
,07,Los Santos,0704,Macaracas,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,121567.279614202052471,505384453.076481103897095
,07,Los Santos,0705,Pedasí,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,139269.911332590796519,376617702.238626182079315
,07,Los Santos,0706,Pocrí,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,110855.780324848106829,276224010.771234035491943
",07,Los Santos,0707,Tonosí,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 61 del 18 de octubre de 2003"",GA 02404,""GA 23602, GA 24915"",Tierra,209272.803143043885939,1291772407.774849176406860"
,08,Panamá,0802,Balboa,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 1 del 27 de Octubre de 1982,GA 02404,GA 19965,Tierra,585722.093479756964371,331800300.774684429168701
",08,Panamá,0805,Chepo,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 1 del 27 de Octubre de 1982, LEY Nº 24 del 12 de enero de 1996, LEY Nº 58 del 29 de julio de 1998"",GA 02404,""GA 19965, GA 22951, GA 23602"",Masa de Agua - Lago,1258048.928035534219816,263894092.049912869930267"
",08,Panamá,0805,Chepo,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 1 del 27 de Octubre de 1982, LEY Nº 24 del 12 de enero de 1996, LEY Nº 58 del 29 de julio de 1998"",GA 02404,""GA 19965, GA 22951, GA 23602"",Tierra,1821011.854386059101671,5055033142.607576370239258"
,08,Panamá,0806,Chimán,LEY N° 1 del 22 de agosto de 1916,LEY N° 1 del 27 de octubre de 1982,GA 02404,GA 20006,Masa de Agua - Río,78600.205661795873311,6495637.431734127923846
,08,Panamá,0806,Chimán,LEY N° 1 del 22 de agosto de 1916,LEY N° 1 del 27 de octubre de 1982,GA 02404,GA 20006,Tierra,438056.241094922006596,995568980.013152599334717
,08,Panamá,0808,Panamá,LEY N° 1 del 22 de agosto de 1916,LEY N° 1 del 27 de octubre de 1982,GA 02404,GA 20006,Masa de Agua - Lago,337734.441640551551245,35135887.059233568608761
,08,Panamá,0808,Panamá,LEY N° 1 del 22 de agosto de 1916,LEY N° 1 del 27 de octubre de 1982,GA 02404,GA 20006,Tierra,572690.443912694347091,2046460801.117064714431763
,08,Panamá,0810,San Miguelito,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20006,N/A,Tierra,38427.980252122470120,49875515.241944245994091
,08,Panamá,0811,Taboga,LEY N° 1 del 22 de agosto de 1916,LEY N° 1 del 27 de octubre de 1982,GA 02404,GA 20006,Tierra,48312.250014298202586,12181625.140563657507300
,09,Veraguas,0901,Atalaya,LEY N° 58 del 29 de julio de 1998,N/A,GA 23602,N/A,Tierra,69644.514866114754113,156109233.913665771484375
,09,Veraguas,0902,Calobre,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Masa de Agua - Lago,6858.835019562472553,1315876.856165849603713
,09,Veraguas,0902,Calobre,LEY Nº 1 del 22 de agosto de 1916,LEY Nº 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,160305.696060690854210,805124932.202388763427734
",09,Veraguas,0903,Cañazas,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 69 del 28 de octubre de 1998, LEY N° 2 del 21 de octubre de 1998, LEY N° 43 del 5 de agosto del 2002, LEY N° 37 del 24 de junio del 2008"",GA 02404,""GA 23602, GA 23664, GA 22526, GA 24613, GA 26069"",Tierra,367924.037090854428243,781924697.075660824775696"
",09,Veraguas,0904,La Mesa,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 27 del 5 de junio de 2002, LEY N° 35 del 10 de mayo 2012"",GA 02404,""GA 23602, GA 24570, GA 27032-B"",Tierra,124442.824498857589788,509766168.486920058727264"
",09,Veraguas,0905,Las Palmas,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY Nº 10 del 7 de Marzo de 1997, LEY N° 32 del 10 de mayo del 2012"",GA 02404,""GA 23602, GA 23242, GA 27032-A"",Tierra,400577.122888072044589,1015196126.719285607337952"
",09,Veraguas,0906,Montijo,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 2 del 29 de abril de 1994, LEY N° 42 del 30 de abril de 2003"",GA 02404,""GA 23602, GA 22526, GA 24794"",Tierra,451833.200988810043782,774379461.920259118080139"
