cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,cod_corr,nomb_corr,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
,02,Coclé,0202,Antón,020203,El Chirú,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,81063.754462684635655,109886064.519285768270493
,02,Coclé,0202,Antón,020204,El Retiro,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,74399.693955074995756,69515250.917653843760490
,02,Coclé,0202,Antón,020205,El Valle,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,30688.718374462601787,34998534.989744037389755
,02,Coclé,0202,Antón,020206,Juan Díaz,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,92008.023780319097568,81596808.442327395081520
,02,Coclé,0202,Antón,020207,Río Hato,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,89667.772659911570372,134539635.424919545650482
,02,Coclé,0202,Antón,020208,San Juan de Dios,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,53656.317361014640483,55486061.042103514075279
,02,Coclé,0202,Antón,020209,Santa Rita,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,51365.711286335586919,43426768.075870953500271
,02,Coclé,0202,Antón,020210,Caballero,LEY N° 58 del 29 de julio de 1998,N/A,GA 23602,N/A,Tierra,50547.842669848454534,41723865.187462650239468
",02,Coclé,0203,La Pintada,020301,La Pintada ,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 56 del 5 de diciembre de 2002, LEY N° 45 del 25 de abril de 2011"",GA 22526,""GA 23602, GA 24700, GA 26774"",Tierra,51225.157528056814044,85542009.663823589682579"
",02,Coclé,0203,La Pintada,020302,El Harino,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 56 del 5 de diciembre de 2002, LEY N° 45 del 25 de abril de 2011"",GA 22526,""GA 23602, GA 24700, GA 26774"",Tierra,102598.994120595438289,253310124.702516704797745"
